Indicador,Indicador (descrição),Temas,Regionalizado por,Responsável,Interessado,Variável,Variável (descrição),Fonte checada,Forma de obtenção
452,08.04.02 Número de Iniciativas de Economia Circular no município de São Paulo,"Economia, ODS São Paulo",    1 Municipio(s),SMRI,SMRI,V0466,Iniciativas de Economia Circular no município de São Paulo,SMRI,Envio da Secretaria
453,12.0a.01 Número de parcerias internacionais para fortalecer as capacidades científicas e tecnológicas na busca por padrões mais sustentáveis de produção e consumo,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMRI,SMRI,V0467,Parcerias internacionais para fortalecer as capacidades científicas e tecnológicas na busca por padrões mais sustentáveis de produção e consumo ,SMRI,Envio da Secretaria
454,"16.08.01 Participação da cidade de São Paulo em conselhos, diretorias e cargos de liderança em instituições multilaterais internacionais e redes internacionais de cidades","Gestão Pública, ODS São Paulo",    1 Municipio(s),SMRI,SMRI,V0468,"Participação da cidade de São Paulo em conselhos, diretorias e cargos de liderança em instituições multilaterais internacionais e redes internacionais de cidades ",SMRI,Envio da Secretaria
455,16.08.02 Redes internacionais de cidades que São Paulo integra,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMRI,SMRI,V0469,Número de redes internacionais de cidades que São Paulo integra,SMRI,Envio da Secretaria
456,16.08.03 Participação da cidade de São Paulo em eventos promovidos por instituições do Sistema ONU e Redes de Cidades,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMRI,SMRI,V0470,Número de eventos promovidos por instituições do Sistema ONU e Redes de Cidades com a participação do Município de São Paulo,SMRI,Envio da Secretaria
457,16.08.04 Compromissos internacionais assumidos pela cidade de São Paulo,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMRI,SMRI,V0471,Número de compromissos internacionais assumidos pela Município de São Paulo,SMRI,Envio da Secretaria
458,17.03.01 Recursos estimados em Investimento Estrangeiro Direto - IED (bilhões de US$),"Gestão Pública, ODS São Paulo, Economia",    1 Municipio(s),SMRI,SMRI,V0472,Soma de Investimento Estrangeiro Direto (IED) Greenfield e de Expansão,SMRI,Envio da Secretaria
459,17.03.02 Recursos reembolsáveis investidos em políticas públicas no município por meio de cooperações/parcerias internacionais - (R$),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SF,SMRI,V0473,Recursos reembolsáveis investidos em políticas públicas no município por meio de cooperações/parcerias internacionais (R$),SMRI,Envio da Secretaria
460,17.03.03 Recursos investidos não-reembolsáveis em políticas públicas no município por meio de cooperações/parcerias internacionais (R$),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SF,SMRI,V0474,Recursos não-reembolsáveis investidos em políticas públicas no município por meio de cooperações/parcerias internacionais (R$),SMRI,Envio da Secretaria
461,"17.06.01 Missões ou participação em eventos internacionais relacionados aos temas de ciência, tecnologia e inovação","Gestão Pública, ODS São Paulo",    1 Municipio(s),SMRI,SMRI,V0475,"Número de missões e participação em eventos internacionais relacionados aos temas de ciência, tecnologia e inovação",SMRI,Envio da Secretaria
462,"17.06.02 Redes, acordos e compromissos internacionais relacionadas aos temas de ciência, inovação e tecnologia integrados pela Prefeitura de São Paulo","Gestão Pública, ODS São Paulo",    1 Municipio(s),SMRI,SMRI,V0476,"Número de Redes, acordos e compromissos internacionais relacionadas aos temas de ciência, inovação e tecnologia integrados pela Prefeitura de São Paulo",SMRI,Envio da Secretaria
463,"17.07.01 Participação em redes internacionais de cidades, acordos e compromissos internacionais relacionados à desenvolvimento, transferência, disseminação e difusão de tecnologias ambientalmente corretas","Gestão Pública, ODS São Paulo",    1 Municipio(s),SMRI,SMRI,V0477,"Número de Participação em redes internacionais de cidades, acordos e compromissos internacionais relacionados à desenvolvimento,  transferência, disseminação e difusão de tecnologias ambientalmente corretas",SMRI,Envio da Secretaria
464,17.16.01 Acordos e compromissos internacionais assumidos pela Prefeitura alinhados diretamente ao alcance dos objetivos de desenvolvimento sustentável,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMRI,SMRI,V0478,Número de Acordos e compromissos internacionais assumidos pela Prefeitura alinhados diretamente ao alcance dos objetivos de desenvolvimento sustentável,SMRI,Envio da Secretaria
465,"17.16.02 Intercâmbios de experiências internacionais, com a participação da Prefeitura. alinhados diretamente ao alcance dos objetivos de desenvolvimento sustentável","Gestão Pública, ODS São Paulo",    1 Municipio(s),SMRI,SMRI,V0479,"Número de intercâmbios de experiências internacionais, com a participação da Prefeitura. alinhados diretamente ao alcance dos objetivos de desenvolvimento sustentável ",SMRI,Envio da Secretaria
466,17.16.03 Acordos e compromissos nacionais assumidos pela Prefeitura alinhados diretamente ao alcance dos objetivos de desenvolvimento sustentável ,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMRI,SMRI,V0480,Número de Acordos e compromissos nacionais assumidos pela Prefeitura alinhados diretamente ao alcance dos objetivos de desenvolvimento sustentáve,SMRI,Envio da Secretaria
467,08.03.05 Total de projetos desenvolvidos em equipamentos públicos que fomentam o empreendedorismo (Rede FAB LAB LIVRE SP),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0481,Projetos empreendedores desenvolvidos na Rede FAB LAB LIVRE SP,SMIT,Envio da Secretaria
468,09.05.02 Projetos submetidos no site oficial para desenvolvimento na Rede FAB LAB LIVRE SP ,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0482,Número de projetos submetidos via site oficial da Rede FAB LAB LIVRE SP,SMIT,Envio da Secretaria
469,09.0c.02 Acessos nos equipamentos públicos dos programas Telecentros e DIGILAB LIVRE SP ,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0483,Número de acessos à internet nos equipamentos públicos dos programas Telecentros e DIGILAB LIVRE SP,SMIT,Envio da Secretaria
470,09.0c.03 Pessoas atendidas pela rede pública de laboratórios de fabricação digital FAB LAB,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0484,Número de pessoas atendidas pela rede pública de laboratórios de fabricação digital FAB LAB LIVRE SP,SMIT,Envio da Secretaria
471,11.05.12 Solicitações de urgência recebidas pelos canais SP156 relacionadas a alagamentos e inundações,"Gestão Pública, ODS São Paulo, Zeladoria",    1 Municipio(s),SMIT,SMIT,V0485,Solicitações recebidas pelos serviços Alagamento e Inundação pela Central SP156,SMIT,Dados Abertos
472,11.05.13 Solicitações recebidas pelos canais SP156 para o serviço Limpeza da via pública após enchentes ou eventos,"Gestão Pública, ODS São Paulo, Zeladoria",    1 Municipio(s),SMIT,SMIT,V0486,Solicitações recebidas pelo serviço Limpeza da via pública após enchentes ou eventos pela central 156,SMIT,Dados Abertos
473,"01.0a.01 Recursos financeiros externos captados em fontes internacionais, interfederativas e privadas para Assistência Social (R$)","Finanças Públicas, ODS São Paulo",    1 Municipio(s),SF,SF,V0487,"Recursos financeiros externos captados em fontes internacionais, interfederativas e privadas para Assistência Social (R$)",SF,Envio da Secretaria
475,"03.0c.01 Recursos financeiros externos captados em fontes internacionais, interfederativas e privadas para Saúde (R$)","Finanças Públicas, ODS São Paulo",    1 Municipio(s),SF,SF,V0488,"Receita municipal arrecadada por fontes internacionais, interfederativas e privadas para Saúde",SF,Envio da Secretaria
476,03.0c.02 Despesa realizada pela Prefeitura Municipal de São Paulo com a função orçamentária Saúde (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0151,Valor liquidado no orçamento da Prefeitura Municipal de São Paulo com a função orçamentária Saúde,SF,Dados Abertos
477,08.01.01 Produto Interno Bruno (PIB) do Município (R$ mil),"Economia, ODS São Paulo",    1 Municipio(s),CAGI,SMDET,V0169,Produto Interno Bruto (PIB) a preços correntes (R$ mil),Seade,SEADE
478,10.01.01 Renda média por pessoa dos 40% mais pobres do município de São Paulo (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),SF,SF,V0489,Média da renda dos 40% da população mais pobre do município de São Paulo (último trimestre do ano) (R$),IBGE,Envio da secretaria
479,15.0a.02 Despesa realizada pela Prefeitura Municipal de São Paulo com a função orçamentária Gestão Ambiental (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0142,Valor liquidado no orçamento da Prefeitura Municipal de São Paulo com a função orçamentária Gestão Ambiental,SF,Dados Abertos
480,17.01.08 Receita Municipal Total (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0491,Receita Municipal Total (R$),SF,Relatório
481,17.01.06 Total de Receitas Arrecadadas com Impostos pelo Município (em bilhões de reais),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0492,"Total de Receitas arrecadadas com impostos, taxas e contribuições de melhoria pelo Município (R$)",SF,Relatório
482,17.01.07 Total de Receita Patrimonial do Município (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0493,Total de Receita Patrimonial do Município (R$),SF,Relatório
483,17.01.09 Participação da receita patrimonial na receita municipal total (%),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0491,Receita Municipal Total (R$),SF,Relatório
483,17.01.09 Participação da receita patrimonial na receita municipal total (%),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0493,Total de Receita Patrimonial do Município (R$),SF,Relatório
484,17.01.10 Transferências Correntes Estaduais (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0494,Transferências Correntes Estaduais (R$),SF,Relatório
485,17.01.11 Transferências de Capital Estaduais (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0495,Transferências de Capital Estaduais (R$),SF,Relatório
486,17.01.12 Transferências Correntes Federais (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0496,Transferências Correntes Federais (R$),SF,Relatório
487,17.01.13 Transferências de Capital Federais (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0497,Transferências de Capital Federais (R$),SF,Relatório
488,17.01.14 Transferências Total de outros entes federativos (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0498,Transferências Totais de outros entes federativos (R$),SF,Relatório
489,17.04.01 Despesas municipais correntes com Juros e encargos da dívida (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0499,Despesas municipais correntes com Juros e encargos da dívida (R$),SF,Relatório
490,17.04.02 Despesas municipais de capital com Amortização da dívida (R$),"ODS São Paulo, Finanças Públicas",    1 Municipio(s),CAGI,SF,V0500,Despesas municipais de capital com Amortização da dívida (R$),SF,Relatório
491,17.04.03 Dívida Consolidada Líquida (DCL) do município (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0501,Dívida Consolidada Líquida (DCL) do município (R$),SF,Relatório
492,17.04.04 Receita Corrente Líquida (RCL) do município (R$),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0502,Receita Corrente Líquida (RCL) do município (R$),SF,Relatório
493,17.04.05 Percentual da Dívida Consolidada Líquida (DCL) do município sobre a Receita Corrente Líquida (RCL) do município (%),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0501,Dívida Consolidada Líquida (DCL) do município (R$),SF,Relatório
493,17.04.05 Percentual da Dívida Consolidada Líquida (DCL) do município sobre a Receita Corrente Líquida (RCL) do município (%),"Finanças Públicas, ODS São Paulo",    1 Municipio(s),CAGI,SF,V0502,Receita Corrente Líquida (RCL) do município (R$),SF,Relatório
494,05.0b.01 Percentual de pessoas do sexo feminino que se cadastraram no site oficial da rede FAB LAB LIVRE SP (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0503,Total de pessoas cadastradas no site oficial da rede FAB LAB LIVRE SP,SMIT,Envio da Secretaria
494,05.0b.01 Percentual de pessoas do sexo feminino que se cadastraram no site oficial da rede FAB LAB LIVRE SP (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0504,Número de pessoas do sexo feminino cadastradas no site oficial da rede FAB LAB LIVRE SP,SMIT,Envio da Secretaria
495,05.0b.02 Percentual de pessoas do sexo feminino que inscreveram projetos no site oficial da rede FAB LAB LIVRE SP (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0505,Total de pessoas que inscreveram projetos no site oficial da rede FAB LAB LIVRE SP,SMIT,Envio da Secretaria
495,05.0b.02 Percentual de pessoas do sexo feminino que inscreveram projetos no site oficial da rede FAB LAB LIVRE SP (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0506,Total de pessoas do sexo feminino que inscreveram projetos no site oficial da rede FAB LAB LIVRE SP,SMIT,Envio da Secretaria
496,08.03.06 Empresas abertas na cidade de São Paulo pelo Programa Empreenda Fácil,"Economia, Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0507,Número de empresas abertas na cidade de São Paulo pelo Programa Empreenda Fácil,SMIT,Envio da Secretaria
497,16.06.06 Percentual de solicitações concluídas que tiveram reclamação posterior na Ouvidoria Geral do Município (%),"Direitos Humanos e Cidadania, Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0508,Total de solicitações concluídas,SMIT,Dados Abertos
497,16.06.06 Percentual de solicitações concluídas que tiveram reclamação posterior na Ouvidoria Geral do Município (%),"Direitos Humanos e Cidadania, Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0509,Total de solicitações concluídas que tiveram uma reclamação posterior na Ouvidoria Geral do Município,SMIT,Dados Abertos
498,16.06.07 Percentual de solicitações concluídas fora do prazo máximo informado nas Cartas de Serviços (%),"Direitos Humanos e Cidadania, Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0510,Total de solicitações concluídas fora do prazo máximo informado nas Cartas de Serviços,SMIT,Dados Abertos
498,16.06.07 Percentual de solicitações concluídas fora do prazo máximo informado nas Cartas de Serviços (%),"Direitos Humanos e Cidadania, Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0508,Total de solicitações concluídas,SMIT,Dados Abertos
499,"16.06.08 Média das notas recebidas como resposta para a pergunta ""De modo geral, qual o seu nível de satisfação com o serviço prestado?"". As notas variam de 1 (Péssimo) a 5 (Ótimo)","Direitos Humanos e Cidadania, Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0511,Nota média do nível de satisfação com o serviço prestado,SMIT,Dados Abertos
500,16.06.09 Percentual de avaliações positivas do descomplica (%),"Direitos Humanos e Cidadania, Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0512,Total de avaliações do Descomplica SP,SMIT,Envio da Secretaria
500,16.06.09 Percentual de avaliações positivas do descomplica (%),"Direitos Humanos e Cidadania, Gestão Pública, ODS São Paulo",    1 Municipio(s),SMIT,SMIT,V0513,Avaliações positivas Descomplica SP,SMIT,Envio da Secretaria
501,05.05.09 Percentual de Servidoras municipais ativas com deficiência (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0514,Servidoras da administração direta ativa com deficiência,SEGES,Dados Abertos
501,05.05.09 Percentual de Servidoras municipais ativas com deficiência (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0266,Servidoras ativas da administração direta do governo,SEGES,Dados Abertos
502,05.05.10 Percentual de Mulheres no comando das secretarias municipais (Secretárias Titulares) (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0515,Total de secretári@s municipais,SEGES,Envio da Secretaria
502,05.05.10 Percentual de Mulheres no comando das secretarias municipais (Secretárias Titulares) (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0516,Total de secretárias municipais (mulher no comando de secretaria),SEGES,Envio da Secretaria
503,12.08.05 Agentes públicos municipais concluintes de cursos de sustentabilidade e desenvolvimento sustentável oferecidos pela Escola Municipal de Administração Pública de São Paulo (EMASP),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0517,Número de agentes públicos municipais concluintes de cursos de sustentabilidade e desenvolvimento sustentável oferecidos pela Escola Municipal de Administração Pública de São Paulo (EMASP),SEGES,Envio da Secretaria
504,05.05.04 Percentual de Servidoras municipais ativas pretas (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0518,Número de servidoras municipais ativas pretas,SEGES,Dados Abertos
504,05.05.04 Percentual de Servidoras municipais ativas pretas (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0266,Servidoras ativas da administração direta do governo,SEGES,Dados Abertos
505,05.05.05 Percentual de Servidoras municipais ativas pardas (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0519,Número de servidoras municipais ativas pardas,SEGES,Dados Abertos
505,05.05.05 Percentual de Servidoras municipais ativas pardas (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0266,Servidoras ativas da administração direta do governo,SEGES,Dados Abertos
506,05.05.06 Percentual de Servidoras municipais ativas indígenas (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0520,Número de servidoras municipais ativas indígenas,SEGES,Dados Abertos
506,05.05.06 Percentual de Servidoras municipais ativas indígenas (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0266,Servidoras ativas da administração direta do governo,SEGES,Dados Abertos
507,05.05.07 Percentual de Servidoras municipais ativas amarelas (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0521,Número de servidoras municipais ativas amarelas,SEGES,Dados Abertos
507,05.05.07 Percentual de Servidoras municipais ativas amarelas (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0266,Servidoras ativas da administração direta do governo,SEGES,Dados Abertos
508,05.05.08 Percentual de Servidoras municipais ativas brancas (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0522,Número de servidoras municipais ativas brancas,SEGES,Dados Abertos
508,05.05.08 Percentual de Servidoras municipais ativas brancas (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0266,Servidoras ativas da administração direta do governo,SEGES,Dados Abertos
509,07.03.01 Consumo anual de energia da rede de iluminação pública municipal,"ODS São Paulo, Zeladoria",    1 Municipio(s),SPRegula,SPRegula,V0523,Consumo de energia da rede de iluminação pública,SMUL,Envio da Secretaria
510,10.03.03 Servidores(as) efetivos(as) municipais negros(as) contratados(as) pela Lei de Cotas (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0524,Número de ingresso de servidores(as) efetivos(as) negros(as) e afrodescendentes por meio da Lei de Cotas na Prefeitura,SEGES,Envio da Secretaria
510,10.03.03 Servidores(as) efetivos(as) municipais negros(as) contratados(as) pela Lei de Cotas (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0525,Número de ingressos de servidores(as) efetivos(as) na Prefeitura,SEGES,Dados Abertos
511,17.17.02 Organizações Sociais qualificadas no Município de São Paulo,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0526,Número de Organizações Sociais qualificadas no Município de São Paulo,SEGES,Envio da Secretaria
512,12.08.06 Número total de horas em atividades formativas que tratam das temáticas de sustentabilidade e desenvolvimento sustentável oferecidos por ano pela Escola Municipal de Administração Pública de São Paulo (EMASP),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0527,Total de horas em atividades formativas que tratam das temáticas de sustentabilidade e desenvolvimento sustentável,SEGES,Envio da Secretaria
513,05.05.11 Percentual de Mulheres em cargos gerenciais no governo do município (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0529,Número de servidoras em cargos gerenciais no governo do município,SEGES,Dados Abertos
513,05.05.11 Percentual de Mulheres em cargos gerenciais no governo do município (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0528,Número de servidores em cargos gerenciais no governo do município,SEGES,Dados Abertos
514,05.0b.04 Percentual de mulheres trabalhando com Tecnologia da Informação e Comunicação da Prefeitura (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0530,Total de servidores(as) municipais nas áreas Tecnologia da Informação e Comunicação da Prefeitura,SEGES,Envio da Secretaria
514,05.0b.04 Percentual de mulheres trabalhando com Tecnologia da Informação e Comunicação da Prefeitura (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0531,Total de servidoras que trabalham em áreas de Tecnologia da Informação e Comunicação da Prefeitura ,SEGES,Envio da Secretaria
515,16.07.03 Percentual de Secretarias municipais com Conselhos com participação da sociedade civil (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0532,Número de secretarias municipais que contam com pelo menos um Conselho Municipal com participação social,SEGES,Envio da Secretaria
515,16.07.03 Percentual de Secretarias municipais com Conselhos com participação da sociedade civil (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0391,Total de secretarias municipais,SEGES,Envio da Secretaria
516,16.07.05 Percentual de Mulheres negras em cargos gerenciais no governo do município (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0533,Número de servidoras negras em cargos gerenciais no governo do município,SEGES,Dados Abertos
516,16.07.05 Percentual de Mulheres negras em cargos gerenciais no governo do município (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0528,Número de servidores em cargos gerenciais no governo do município,SEGES,Dados Abertos
517,16.07.06 Percentual de pessoas negras em cargos gerenciais no governo do município (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0528,Número de servidores em cargos gerenciais no governo do município,SEGES,Dados Abertos
517,16.07.06 Percentual de pessoas negras em cargos gerenciais no governo do município (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0534,Número de servidores negros em cargos gerenciais no governo do município,SEGES,Dados Abertos
518,16.07.07 Percentual de Pessoas com deficiência em cargos gerenciais no governo do município (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0535,Número de pessoas com deficiência em cargos gerenciais no governo do município,SEGES,Dados Abertos
518,16.07.07 Percentual de Pessoas com deficiência em cargos gerenciais no governo do município (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0528,Número de servidores em cargos gerenciais no governo do município,SEGES,Dados Abertos
519,16.10.02 Número de acessos pelo cidadão a processos físicos encerrados,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0536,Número de requerimentos de acesso aos processos administrativos concedidos,SEGES,Envio da Secretaria
520,17.17.01 Número de Organizações da Sociedade Civil no Cadastro Único das Entidades Parceiras do Terceiro Setor ,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0537,Número de Organizações da Sociedade Civil no Cadastro Único das Entidades Parceiras do Terceiro Setor,SEGES,Envio da Secretaria
521,07.01.04 Número de pontos de iluminação pública com telegestão,"ODS São Paulo, Zeladoria",    1 Municipio(s),SPRegula,SPRegula,V0538,Número de pontos de iluminação com sistema de telegestão,SMUL,Envio da Secretaria
522,16.10.01 Percentual de abertura de processos administrativos com nível de acesso público (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0539,Total de processos abertos,SEGES,Envio da Secretaria
522,16.10.01 Percentual de abertura de processos administrativos com nível de acesso público (%),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0540,Total de processos abertos com nível de acesso público,SEGES,Envio da Secretaria
523,17.17.03 Valor de repasses para o Terceiro Setor (R$),"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0541,Valor de repasses para o Terceiro Setor (R$),SEGES,Envio da Secretaria
524,17.17.04 Número de Contratos com o Terceiro Setor,"Gestão Pública, ODS São Paulo",    1 Municipio(s),SEGES,SEGES,V0542,Número de Contratos com o Terceiro Setor ,SEGES,Envio da Secretaria
525,02.02.01 Déficit de altura em crianças menores de cinco anos atendidas na Atenção Primária à Saúde (%),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0543,Número de crianças menores de 5 anos com Z_score ≤ 2 desvio padrão para estatura,SISVAN,Envio da secretaria
525,02.02.01 Déficit de altura em crianças menores de cinco anos atendidas na Atenção Primária à Saúde (%),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0544,Número de crianças menores de 5 anos atendidas na Atenção Primária à Saúde,SMS,Envio da Secretaria
526,02.02.02 Déficit de peso em crianças menores de cinco anos atendidas na Atenção Primária à Saúde (%),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0544,Número de crianças menores de 5 anos atendidas na Atenção Primária à Saúde,SMS,Envio da Secretaria
526,02.02.02 Déficit de peso em crianças menores de cinco anos atendidas na Atenção Primária à Saúde (%),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0545,Número de crianças menores de 5 anos com Zscore ≤ 2 desvio padrão para o índice de massa corporal/idade,SISVAN,Envio da secretaria
527,02.02.04 Percentual de aleitamento materno exclusivo atendidas na Atenção Primária à Saúde (%),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0546,Número de crianças menores de seis meses atendidas na Atenção Primária à Saúde,SMS,Envio da Secretaria
527,02.02.04 Percentual de aleitamento materno exclusivo atendidas na Atenção Primária à Saúde (%),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0547,Número de crianças que receberam exclusivamente leite materno até o sexto mês de vida atendidas na Atenção Primária à Saúde,SISVAN,Envio da secretaria
528,03.03.06 Número de óbitos por hepatite C,"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0548,Número de óbitos por hepatite C,SIM,Envio da secretaria
529,11.01.04 Unidades Habitacionais de Interesse Social (HIS) e Mercado Popular (HMP) licenciadas,"Desenvolvimento Urbano, Moradia e Saneamento Básico, ODS São Paulo",    1 Municipio(s),SMUL,SMUL,V0239,Unidades Habitacionais de Interesse Social (HIS) licenciadas,SMUL,Dados Abertos
529,11.01.04 Unidades Habitacionais de Interesse Social (HIS) e Mercado Popular (HMP) licenciadas,"Desenvolvimento Urbano, Moradia e Saneamento Básico, ODS São Paulo",    1 Municipio(s),SMUL,SMUL,V0241,Unidades de Habitação de Mercado Popular (HMP) licenciadas,SMUL,Dados Abertos
530,03.03.01 Percentual das pessoas vivendo com HIV diagnosticadas retidas no serviço (%),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0549,Número de pessoas vivendo com HIV diagnosticadas,SMS,Envio da Secretaria
530,03.03.01 Percentual das pessoas vivendo com HIV diagnosticadas retidas no serviço (%),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0550,Número de pessoas em tratamento com antirretrovirais (TARV) e também em gap de tratamento,SMS,Envio da Secretaria
531,03.03.02 Percentual de pessoas vivendo com HIV diagnosticadas em tratamento com medicamentos antirretrovirais - ARV (%),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0553,"Número de pessoas em TARV, há mais de 6 meses",SMS,Envio da Secretaria
531,03.03.02 Percentual de pessoas vivendo com HIV diagnosticadas em tratamento com medicamentos antirretrovirais - ARV (%),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0550,Número de pessoas em tratamento com antirretrovirais (TARV) e também em gap de tratamento,SMS,Envio da Secretaria
532,03.03.03 Percentual de pessoas vivendo com HIV diagnosticadas e em tratamento com carga viral indetectável (%),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0552,Número de pessoas com carga viral indetectável,SMS,Envio da Secretaria
